Loxley Grove	Wetherby	LS22	53.9409	-1.3923	1:FHSM;2:FHSN;3:FHSP;4:IEX5;5:FHSR;6:FHSS;7:FISO;8:FISQ;
Lumley Mount	Burley	LS4	53.8120	-1.5819	1:JXUJ;2:JXU0;3:LVVQ;4:GURZ;5:IYH2;6:M6CN;7:JXFA;8:JXFB;9:JXF7;10:JXEZ;11:HKB0;
Lumley Place	Burley	LS4	53.8128	-1.5818	1:JXF3;2:JXFD;3:JXFO;4:JXFR;5:JXFV;6:GQM9;7:HKB3;8:HKB4;9:JXFK;
Lumley Road	Burley	LS4	53.8123	-1.5814	1:GQM4;3:JX4J;5:M6CM;7:JX4S;9:JX42;11:JX45;13:JX49;15:JX4D;17:JX59;19:GQM7;21:JXEQ;23:JXEU;25:JX4W;27:JX58;29:JX53;31:JX57;33:KVOP;35:HMHT;37:HMHS;39:KVOI;41:KVOF;43:KVOK;45:KVOM;47:M6EB;49:KVY9;51:KVY5;53:KVY8;55:JFNG;57:KVXZ;59:JGQB;63:KVO8;65:LL1X;67:JV2P;69:JV2U;ROOM 1, 45:O1UZ;ROOM 2, 45:O1V0;ROOM 3, 45:O1V1;ROOM 4, 45:O1V2;ROOM 5, 45:O1V3;
Lumley Street	Burley	LS4	53.8125	-1.5814	1:JV2E;2:JV29;3:JV2L;4:JV2G;5:M6DZ;6:M6EA;7:KVO9;8:KVO5;9:KVO2;10:JVCF;
Lumley Terrace	Burley	LS4	53.8123	-1.5819	1:KVNW;2:KVNU;3:JV2K;4:JYXD;5:JY5I;6:JZ6D;7:GUSR;8:LVVU;9:M6CW;10:JY5F;
Lumley View	Burley	LS4	53.8115	-1.5819	2:JZ6Y;4:M6CX;6:JZ6R;8:JZ72;10:JZ6N;12:JZ6K;
Lumley Walk	Burley	LS4	53.8118	-1.5819	1:JZ6I;2:JZ6P;3:JZ6S;4:JX13;5:JX10;6:JX1A;7:JX17;8:KVYC;9:KVYA;10:JX0W;11:JX1R;12:JX1V;
Lunan Place	Leeds	LS8	53.8173	-1.5187	1:FUZS;2:JXWG;3:JX1X;4:JX1I;5:JX1M;6:JX1P;7:IXGS;8:IXGU;9:IXGW;10:IXGZ;11:IXGI;12:IXGL;13:IXGO;14:IXH5;15:IY61;17:IY6A;19:LG39;
Lunan Terrace	Leeds	LS8	53.8170	-1.5192	1:IXH7;2:IXH2;3:HM4V;4:HM4W;5:IXGG;6:JY3R;7:JZ4O;8:JZ4K;9:JY3N;10:FUZA;11:JZ4N;12:JZ54;13:JZ58;14:IXGF;15:JZ59;16:LUOG;17:JZ4P;18:JZ4Y;19:FUZR;20:HMMF;21:GUII;22:JWJM;
Lupton Avenue	Harehills	LS9	53.8027	-1.5077	2:JWJN;4:JWJL;6:JWK4;8:JV22;10:JV26;12:JV20;14:JWT7;16:JWT9;18:F1T2;20:F1SQ;22:IY6S;24:F1T1;26:IY6D;28:IY6H;51:JWJD;51:JWJH;53:HQYF;55:LH82;57:KUFE;58:KUF1;59:KUEX;60:HP0P;61:KUFV;62:KUG3;63:KUFU;64:KUFY;65:KUFJ;66:F2QE;67:KUFP;68:F2QG;69:KVQ3;70:KVPV;71:KVQ5;72:KVPR;73:KVPU;74:HLHG;75:KVQP;76:KVQB;77:KVQE;78:KUH6;79:KVQL;80:F2QF;81:KUHC;82:II3T;84:KUGX;85:KUH0;86:KUHG;87:KUH3;88:KVPA;89:KVGC;90:KUHJ;91:KVG6;92:KVGB;93:KVG8;94:KX9G;95:HNQB;96:KT2N;97:F2HO;98:JY6L;99:JY6I;100:HNQA;101:KT2R;102:LM9A;103:KT3D;104:KT3I;105:KT2U;106:KT35;107:KT31;108:JZ7I;109:JZ7M;110:JZ7N;111:F1T7;112:JZ78;113:LVW9;114:JY65;115:JZ7V;116:F1T5;117:JY6A;119:JZ7S;121:JY5Z;123:JFOQ;125:KT57;127:LIS5;129:KT50;131:KV3Q;133:KT4Z;135:F2HQ;145:KT5C;147:JXLS;149:HKRK;151:KT3Y;153:LM9B;155:F2HP;157:KT3K;159:KT3P;161:KT3T;163:KT4B;165:KT4P;167:KT4R;169:JFOT;171:HKR9;173:KT4M;175:KT4J;177:JFNF;FLAT AT, 141:LCER;FLAT AT, 143:LJOJ;GARAGE SITE:JWJ7;
